epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.8125020861625671,0.9455288052558899,9.999999747378752e-06,1.5382014513015747,0.8162210583686829,0.8111133575439453,0.9141418933868408,0.978367030620575,0.6306565999984741,0.9157463908195496,0.9135720133781433
1,0.8663955926895142,0.9645854234695435,9.999999747378752e-06,0.988665759563446,0.8685501217842102,0.8652076721191406,0.9304777383804321,0.9835301637649536,0.5020579099655151,0.9312607049942017,0.930287778377533
2,0.8886323571205139,0.9711436629295349,9.999999747378752e-06,0.8158523440361023,0.8908965587615967,0.887661874294281,0.9401652812957764,0.9856646060943604,0.4325679838657379,0.9408407807350159,0.9395004510879517
3,0.9013151526451111,0.9743327498435974,9.999999747378752e-06,0.7178773283958435,0.9027842879295349,0.9005789160728455,0.945483922958374,0.9868048429489136,0.3938034474849701,0.946182370185852,0.9451040029525757
4,0.9071713089942932,0.9762696027755737,9.999999747378752e-06,0.6698799729347229,0.9086853861808777,0.9066024422645569,0.9519422650337219,0.9892482757568359,0.33879509568214417,0.9525439739227295,0.9512774348258972
5,0.91508549451828,0.9783953428268433,9.999999747378752e-06,0.6110267639160156,0.9164584875106812,0.9146337509155273,0.955741286277771,0.9899241924285889,0.31448525190353394,0.9559969305992126,0.9553613662719727
6,0.9192015528678894,0.9798254370689392,9.999999747378752e-06,0.5751826763153076,0.9204010367393494,0.9185991883277893,0.9587805271148682,0.9906699657440186,0.2987687885761261,0.9594106674194336,0.958590567111969
7,0.9244720935821533,0.980410099029541,9.999999747378752e-06,0.5463508367538452,0.9255082011222839,0.9240370988845825,0.9626744985580444,0.991642951965332,0.27468976378440857,0.9629347920417786,0.9622946381568909
8,0.9283874034881592,0.9817215800285339,9.999999747378752e-06,0.5259104371070862,0.9292991757392883,0.927868664264679,0.9640991687774658,0.991449236869812,0.273974746465683,0.964367151260376,0.9639092087745667
9,0.932068407535553,0.9829367399215698,9.999999747378752e-06,0.4890495240688324,0.933127760887146,0.9315664172172546,0.9661886096000671,0.9918497800827026,0.2482350915670395,0.9668250679969788,0.965998649597168
